State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/29/2020,343,291,43,9,11,11,0,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/30/2020,386,334,43,9,43,43,0,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/1/2020,411,335,66,10,25,1,23,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/2/2020,436,360,66,10,25,25,0,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/3/2020,466,379,77,10,30,19,11,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/4/2020,491,395,86,10,25,16,9,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/5/2020,516,392,114,10,25,-3,28,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/6/2020,533,369,153,11,17,-23,39,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/7/2020,540,360,168,12,7,-9,15,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/8/2020,547,342,191,14,7,-18,23,2,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/9/2020,553,320,218,15,6,-22,27,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/10/2020,566,311,239,16,13,-9,21,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/11/2020,575,292,267,16,9,-19,28,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/12/2020,584,284,284,16,9,-8,17,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/13/2020,591,277,297,17,7,-7,13,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/14/2020,591,257,316,18,0,-20,19,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/15/2020,599,238,343,18,8,-19,27,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",5/16/2020,608,199,390,19,9,-39,47,1,AP
Andhra Pradesh,Other State,"Other State, Andhra Pradesh",5/5/2020,14,14,0,0,14,14,0,0,AP
Andhra Pradesh,Other State,"Other State, Andhra Pradesh",5/6/2020,27,27,0,0,13,13,0,0,AP
Andhra Pradesh,Other State,"Other State, Andhra Pradesh",5/7/2020,27,27,0,0,0,0,0,0,AP
Andhra Pradesh,Other State,"Other State, Andhra Pradesh",5/8/2020,27,27,0,0,0,0,0,0,AP
Andhra Pradesh,Other State,"Other State, Andhra Pradesh",5/9/2020,27,27,0,0,0,0,0,0,AP
